  Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,CO2, seasonally
1963,7,23207,1963.537,319.74,319.06,319.71,319.05,319.74,319.06
1963,8,23238,1963.6219,317.77,319.05,317.78,319.1,317.77,319.05
1963,9,23269,1963.7068,316.21,319.14,316.19,319.14,316.21,319.14
1963,10,23299,1963.789,315.99,319.02,316.16,319.18,315.99,319.02
1963,11,23330,1963.874,317.07,318.97,317.34,319.22,317.07,318.97
1963,12,23360,1963.9562,318.35,319.13,318.51,319.27,318.35,319.13
1964,1,23391,1964.041,319.57,319.53,319.37,319.31,319.57,319.53
1964,2,23422,1964.1257,-99.99,-99.99,320,319.36,320,319.36
1964,3,23451,1964.2049,-99.99,-99.99,320.73,319.4,320.73,319.4
1964,4,23482,1964.2896,-99.99,-99.99,321.83,319.45,321.83,319.45
1964,5,23512,1964.3716,322.26,319.4,322.34,319.49,322.26,319.4
1964,6,23543,1964.4563,321.89,319.75,321.64,319.52,321.89,319.75
1964,7,23573,1964.5383,320.44,319.78,320.18,319.55,320.44,319.78
1964,8,23604,1964.623,318.69,320.01,318.23,319.58,318.69,320.01
1964,9,23635,1964.7077,316.7,319.66,316.63,319.6,316.7,319.66
1964,10,23665,1964.7896,316.87,319.91,316.59,319.62,316.87,319.91
1964,11,23696,1964.8743,317.68,319.58,317.75,319.63,317.68,319.58
1964,12,23726,1964.9563,318.71,319.49,318.89,319.65,318.71,319.49
1965,1,23757,1965.0411,319.44,319.4,319.73,319.68,319.44,319.4
1965,2,23788,1965.126,320.44,319.81,320.37,319.72,320.44,319.81
1965,3,23816,1965.2027,320.89,319.59,321.08,319.77,320.89,319.59
1965,4,23847,1965.2877,322.14,319.78,322.2,319.83,322.14,319.78
1965,5,23877,1965.3699,322.17,319.3,322.77,319.9,322.17,319.3
1965,6,23908,1965.4548,321.87,319.7,322.15,320,321.87,319.7
1965,7,23938,1965.537,321.21,320.52,320.76,320.1,321.21,320.52
1965,8,23969,1965.6219,318.87,320.16,318.88,320.21,318.87,320.16
1965,9,24000,1965.7068,317.81,320.77,317.35,320.32,317.81,320.77
1965,10,24030,1965.789,317.3,320.36,317.39,320.43,317.3,320.36
1965,11,24061,1965.874,318.87,320.78,318.65,320.55,318.87,320.78
1965,12,24091,1965.9562,319.42,320.2,319.89,320.66,319.42,320.2
1966,1,24122,1966.0411,320.62,320.58,320.84,320.78,320.62,320.58
1966,2,24153,1966.126,321.6,320.95,321.55,320.9,321.6,320.95
1966,3,24181,1966.2027,322.39,321.09,322.32,321.01,322.39,321.09
1966,4,24212,1966.2877,323.7,321.34,323.5,321.12,323.7,321.34
1966,5,24242,1966.3699,324.08,321.2,324.1,321.22,324.08,321.2
1966,6,24273,1966.4548,323.75,321.57,323.47,321.32,323.75,321.57
1966,7,24303,1966.537,322.38,321.69,322.06,321.4,322.38,321.69
1966,8,24334,1966.6219,320.36,321.66,320.15,321.48,320.36,321.66
1966,9,24365,1966.7068,318.64,321.6,318.57,321.55,318.64,321.6
1966,10,24395,1966.789,318.1,321.17,318.56,321.62,318.1,321.17
1966,11,24426,1966.874,319.78,321.7,319.78,321.68,319.78,321.7
1966,12,24456,1966.9562,321.03,321.81,320.97,321.74,321.03,321.81
1967,1,24487,1967.0411,322.33,322.29,321.85,321.8,322.33,322.29
1967,2,24518,1967.126,322.5,321.85,322.51,321.85,322.5,321.85
1967,3,24546,1967.2027,323.04,321.73,323.22,321.9,323.04,321.73
1967,4,24577,1967.2877,324.42,322.05,324.34,321.96,324.42,322.05
1967,5,24607,1967.3699,325,322.11,324.9,322.01,325,322.11
1967,6,24638,1967.4548,324.09,321.91,324.24,322.07,324.09,321.91
1967,7,24668,1967.537,322.54,321.85,322.8,322.13,322.54,321.85
1967,8,24699,1967.6219,320.92,322.22,320.87,322.2,320.92,322.22
1967,9,24730,1967.7068,319.25,322.23,319.28,322.27,319.25,322.23
1967,10,24760,1967.789,319.39,322.47,319.28,322.34,319.39,322.47
1967,11,24791,1967.874,320.73,322.65,320.51,322.42,320.73,322.65
1967,12,24821,1967.9562,321.96,322.74,321.72,322.49,321.96,322.74
1968,1,24852,1968.041,322.57,322.53,322.62,322.57,322.57,322.53
1968,2,24883,1968.1257,323.15,322.5,323.3,322.65,323.15,322.5
1968,3,24912,1968.2049,323.89,322.55,324.08,322.73,323.89,322.55
1968,4,24943,1968.2896,325.02,322.62,325.24,322.82,325.02,322.62
1968,5,24973,1968.3716,325.57,322.68,325.81,322.92,325.57,322.68
1968,6,25004,1968.4563,325.36,323.19,325.18,323.03,325.36,323.19
1968,7,25034,1968.5383,324.14,323.47,323.78,323.13,324.14,323.47
1968,8,25065,1968.623,322.11,323.44,321.88,323.25,322.11,323.44
1968,9,25096,1968.7077,320.33,323.32,320.36,323.37,320.33,323.32
1968,10,25126,1968.7896,320.25,323.33,320.41,323.48,320.25,323.33
1968,11,25157,1968.8743,321.32,323.25,321.71,323.61,321.32,323.25
1968,12,25187,1968.9563,322.89,323.68,322.97,323.74,322.89,323.68
1969,1,25218,1969.0411,324,323.96,323.94,323.88,324,323.96
1969,2,25249,1969.126,324.41,323.77,324.68,324.03,324.41,323.77
1969,3,25277,1969.2027,325.63,324.32,325.49,324.16,325.63,324.32
1969,4,25308,1969.2877,326.66,324.28,326.7,324.3,326.66,324.28
1969,5,25338,1969.3699,327.38,324.48,327.34,324.44,327.38,324.48
1969,6,25369,1969.4548,326.71,324.51,326.75,324.57,326.71,324.51
1969,7,25399,1969.537,325.88,325.18,325.36,324.69,325.88,325.18
1969,8,25430,1969.6219,323.66,324.97,323.46,324.8,323.66,324.97
1969,9,25461,1969.7068,322.38,325.37,321.89,324.9,322.38,325.37
1969,10,25491,1969.789,321.78,324.88,321.9,324.99,321.78,324.88
1969,11,25522,1969.874,322.85,324.79,323.16,325.07,322.85,324.79
1969,12,25552,1969.9562,324.12,324.91,324.38,325.15,324.12,324.91
1970,1,25583,1970.0411,325.06,325.02,325.29,325.24,325.06,325.02
1970,2,25614,1970.126,325.98,325.33,325.98,325.32,325.98,325.33
1970,3,25642,1970.2027,326.93,325.61,326.73,325.39,326.93,325.61
1970,4,25673,1970.2877,328.13,325.74,327.88,325.47,328.13,325.74
1970,5,25703,1970.3699,328.08,325.16,328.47,325.55,328.08,325.16
1970,6,25734,1970.4548,327.67,325.46,327.81,325.63,327.67,325.46
1970,7,25764,1970.537,326.34,325.64,326.37,325.7,326.34,325.64
1970,8,25795,1970.6219,324.69,326,324.42,325.77,324.69,326
1970,9,25826,1970.7068,323.1,326.1,322.81,325.83,323.1,326.1
1970,10,25856,1970.789,323.06,326.18,322.78,325.88,323.06,326.18
1970,11,25887,1970.874,324.01,325.95,324,325.93,324.01,325.95
1970,12,25917,1970.9562,325.13,325.93,325.19,325.97,325.13,325.93
1971,1,25948,1971.0411,326.17,326.13,326.06,326,326.17,326.13
1971,2,25979,1971.126,326.68,326.03,326.71,326.04,326.68,326.03
1971,3,26007,1971.2027,327.17,325.85,327.42,326.08,327.17,325.85
1971,4,26038,1971.2877,327.79,325.38,328.55,326.13,327.79,325.38
1971,5,26068,1971.3699,328.93,326,329.12,326.19,328.93,326
1971,6,26099,1971.4548,328.57,326.36,328.45,326.26,328.57,326.36
1971,7,26129,1971.537,327.36,326.65,327,326.33,327.36,326.65
1971,8,26160,1971.6219,325.43,326.75,325.05,326.4,325.43,326.75
1971,9,26191,1971.7068,323.36,326.37,323.44,326.47,323.36,326.37
1971,10,26221,1971.789,323.56,326.68,323.43,326.54,323.56,326.68
1971,11,26252,1971.874,324.8,326.75,324.69,326.62,324.8,326.75
1971,12,26282,1971.9562,326.01,326.81,325.91,326.69,326.01,326.81
1972,1,26313,1972.041,326.77,326.73,326.83,326.78,326.77,326.73
1972,2,26344,1972.1257,327.63,326.98,327.54,326.87,327.63,326.98
1972,3,26373,1972.2049,327.75,326.4,328.34,326.97,327.75,326.4
1972,4,26404,1972.2896,329.72,327.29,329.54,327.09,329.72,327.29
1972,5,26434,1972.3716,330.07,327.13,330.16,327.22,330.07,327.13
1972,6,26465,1972.4563,329.09,326.89,329.55,327.37,329.09,326.89
1972,7,26495,1972.5383,328.04,327.36,328.18,327.53,328.04,327.36
1972,8,26526,1972.623,326.32,327.67,326.33,327.71,326.32,327.67
1972,9,26557,1972.7077,324.84,327.87,324.86,327.91,324.84,327.87
1972,10,26587,1972.7896,325.2,328.33,324.99,328.1,325.2,328.33
1972,11,26618,1972.8743,326.5,328.45,326.37,328.3,326.5,328.45
1972,12,26648,1972.9563,327.55,328.35,327.72,328.5,327.55,328.35
1973,1,26679,1973.0411,328.55,328.5,328.77,328.71,328.55,328.5
1973,2,26710,1973.126,329.56,328.9,329.59,328.92,329.56,328.9
1973,3,26738,1973.2027,330.3,328.97,330.45,329.1,330.3,328.97
1973,4,26769,1973.2877,331.5,329.08,331.73,329.3,331.5,329.08
1973,5,26799,1973.3699,332.48,329.53,332.42,329.47,332.48,329.53
1973,6,26830,1973.4548,332.07,329.84,331.84,329.63,332.07,329.84
1973,7,26860,1973.537,330.87,330.16,330.45,329.77,330.87,330.16
1973,8,26891,1973.6219,329.31,330.64,328.51,329.87,329.31,330.64
1973,9,26922,1973.7068,327.51,330.55,326.9,329.95,327.51,330.55
1973,10,26952,1973.789,327.18,330.32,326.88,330.01,327.18,330.32
1973,11,26983,1973.874,328.16,330.13,328.1,330.04,328.16,330.13
1973,12,27013,1973.9562,328.64,329.44,329.28,330.06,328.64,329.44
1974,1,27044,1974.0411,329.35,329.31,330.14,330.09,329.35,329.31
1974,2,27075,1974.126,330.71,330.05,330.78,330.11,330.71,330.05
1974,3,27103,1974.2027,331.48,330.14,331.49,330.14,331.48,330.14
1974,4,27134,1974.2877,332.65,330.22,332.62,330.18,332.65,330.22
1974,5,27164,1974.3699,333.09,330.13,333.17,330.21,333.09,330.13
1974,6,27195,1974.4548,332.25,330.01,332.48,330.26,332.25,330.01
1974,7,27225,1974.537,331.18,330.46,330.99,330.31,331.18,330.46
1974,8,27256,1974.6219,329.39,330.73,328.99,330.36,329.39,330.73
1974,9,27287,1974.7068,327.43,330.48,327.35,330.41,327.43,330.48
1974,10,27317,1974.789,327.37,330.52,327.32,330.46,327.37,330.52
1974,11,27348,1974.874,328.46,330.43,328.57,330.52,328.46,330.43
1974,12,27378,1974.9562,329.57,330.38,329.79,330.58,329.57,330.38
1975,1,27409,1975.0411,330.4,330.36,330.71,330.65,330.4,330.36
1975,2,27440,1975.126,331.4,330.74,331.4,330.73,331.4,330.74
1975,3,27468,1975.2027,332.04,330.69,332.17,330.81,332.04,330.69
1975,4,27499,1975.2877,333.31,330.87,333.36,330.91,333.31,330.87
1975,5,27529,1975.3699,333.97,331,333.97,331,333.97,331
1975,6,27560,1975.4548,333.6,331.36,333.32,331.1,333.6,331.36
1975,7,27590,1975.537,331.9,331.19,331.88,331.2,331.9,331.19
1975,8,27621,1975.6219,330.06,331.39,329.92,331.29,330.06,331.39
1975,9,27652,1975.7068,328.56,331.61,328.31,331.38,328.56,331.61
1975,10,27682,1975.789,328.34,331.5,328.32,331.47,328.34,331.5
1975,11,27713,1975.874,329.49,331.47,329.59,331.55,329.49,331.47
1975,12,27743,1975.9562,330.76,331.57,330.84,331.63,330.76,331.57
1976,1,27774,1976.041,331.75,331.7,331.77,331.71,331.75,331.7
1976,2,27805,1976.1257,332.57,331.9,332.46,331.79,332.57,331.9
1976,3,27834,1976.2049,333.5,332.12,333.26,331.87,333.5,332.12
1976,4,27865,1976.2896,334.58,332.12,334.43,331.95,334.58,332.12
1976,5,27895,1976.3716,334.88,331.9,335,332.02,334.88,331.9
1976,6,27926,1976.4563,334.33,332.1,334.32,332.11,334.33,332.1
1976,7,27956,1976.5383,333.05,332.36,332.85,332.19,333.05,332.36
1976,8,27987,1976.623,330.94,332.31,330.88,332.28,330.94,332.31
1976,9,28018,1976.7077,329.3,332.38,329.3,332.39,329.3,332.38
1976,10,28048,1976.7896,328.94,332.11,329.34,332.5,328.94,332.11
1976,11,28079,1976.8743,330.31,332.29,330.67,332.63,330.31,332.29
1976,12,28109,1976.9563,331.68,332.49,331.97,332.77,331.68,332.49
1977,1,28140,1977.0411,332.93,332.88,332.99,332.93,332.93,332.88
1977,2,28171,1977.126,333.42,332.75,333.78,333.1,333.42,332.75
1977,3,28199,1977.2027,334.7,333.35,334.63,333.27,334.7,333.35
1977,4,28230,1977.2877,336.07,333.62,335.92,333.45,336.07,333.62
1977,5,28260,1977.3699,336.75,333.76,336.62,333.63,336.75,333.76
1977,6,28291,1977.4548,336.27,334.01,336.05,333.81,336.27,334.01
1977,7,28321,1977.537,334.92,334.2,334.67,333.98,334.92,334.2
1977,8,28352,1977.6219,332.75,334.1,332.77,334.15,332.75,334.1
1977,9,28383,1977.7068,331.59,334.67,331.22,334.31,331.59,334.67
1977,10,28413,1977.789,331.16,334.35,331.28,334.45,331.16,334.35
1977,11,28444,1977.874,332.4,334.4,332.63,334.6,332.4,334.4
1977,12,28474,1977.9562,333.85,334.66,333.94,334.73,333.85,334.66
1978,1,28505,1978.0411,334.97,334.93,334.93,334.87,334.97,334.93
1978,2,28536,1978.126,335.39,334.72,335.68,335.01,335.39,334.72
1978,3,28564,1978.2027,336.64,335.28,336.5,335.12,336.64,335.28
1978,4,28595,1978.2877,337.76,335.3,337.73,335.25,337.76,335.3
1978,5,28625,1978.3699,338.01,335.02,338.36,335.37,338.01,335.02
1978,6,28656,1978.4548,337.9,335.63,337.73,335.49,337.9,335.63
1978,7,28686,1978.537,336.54,335.82,336.28,335.59,336.54,335.82
1978,8,28717,1978.6219,334.68,336.03,334.31,335.7,334.68,336.03
1978,9,28748,1978.7068,332.76,335.85,332.69,335.79,332.76,335.85
1978,10,28778,1978.789,332.55,335.74,332.7,335.89,332.55,335.74
1978,11,28809,1978.874,333.92,335.92,334.01,335.98,333.92,335.92
1978,12,28839,1978.9562,334.95,335.77,335.28,336.08,334.95,335.77
1979,1,28870,1979.0411,336.23,336.18,336.24,336.19,336.23,336.18
1979,2,28901,1979.126,336.76,336.09,336.98,336.3,336.76,336.09
1979,3,28929,1979.2027,337.96,336.6,337.79,336.41,337.96,336.6
1979,4,28960,1979.2877,338.88,336.41,339.02,336.54,338.88,336.41
1979,5,28990,1979.3699,339.47,336.47,339.67,336.66,339.47,336.47
1979,6,29021,1979.4548,339.29,337.01,339.05,336.8,339.29,337.01
1979,7,29051,1979.537,337.73,337.01,337.63,336.93,337.73,337.01
1979,8,29082,1979.6219,336.09,337.44,335.68,337.07,336.09,337.44
1979,9,29113,1979.7068,333.92,337.01,334.11,337.22,333.92,337.01
1979,10,29143,1979.789,333.86,337.07,334.17,337.36,333.86,337.07
1979,11,29174,1979.874,335.29,337.3,335.54,337.52,335.29,337.3
1979,12,29204,1979.9562,336.73,337.55,336.87,337.68,336.73,337.55
1980,1,29235,1980.041,338.01,337.97,337.9,337.84,338.01,337.97
1980,2,29266,1980.1257,338.36,337.69,338.69,338.01,338.36,337.69
1980,3,29295,1980.2049,340.07,338.68,339.57,338.17,340.07,338.68
1980,4,29326,1980.2896,340.76,338.26,340.85,338.33,340.76,338.26
1980,5,29356,1980.3716,341.47,338.45,341.49,338.48,341.47,338.45
1980,6,29387,1980.4563,341.17,338.91,340.87,338.63,341.17,338.91
1980,7,29417,1980.5383,339.56,338.86,339.43,338.76,339.56,338.86
1980,8,29448,1980.623,337.6,338.99,337.47,338.89,337.6,338.99
1980,9,29479,1980.7077,335.88,339,335.88,339.01,335.88,339
1980,10,29509,1980.7896,336.02,339.23,335.93,339.13,336.02,339.23
1980,11,29540,1980.8743,337.1,339.11,337.25,339.23,337.1,339.11
1980,12,29570,1980.9563,338.21,339.03,338.53,339.34,338.21,339.03
1981,1,29601,1981.0411,339.24,339.19,339.5,339.44,339.24,339.19
1981,2,29632,1981.126,340.48,339.8,340.23,339.54,340.48,339.8
1981,3,29660,1981.2027,341.38,340.01,341.01,339.63,341.38,340.01
1981,4,29691,1981.2877,342.5,340.02,342.22,339.72,342.5,340.02
1981,5,29721,1981.3699,342.91,339.89,342.83,339.8,342.91,339.89
1981,6,29752,1981.4548,342.25,339.96,342.16,339.89,342.25,339.96
1981,7,29782,1981.537,340.49,339.76,340.67,339.97,340.49,339.76
1981,8,29813,1981.6219,338.43,339.8,338.66,340.06,338.43,339.8
1981,9,29844,1981.7068,336.69,339.81,337.03,340.16,336.69,339.81
1981,10,29874,1981.789,336.86,340.08,337.05,340.26,336.86,340.08
1981,11,29905,1981.874,338.36,340.38,338.37,340.37,338.36,340.38
1981,12,29935,1981.9562,339.61,340.44,339.67,340.48,339.61,340.44
1982,1,29966,1982.0411,340.75,340.71,340.65,340.59,340.75,340.71
1982,2,29997,1982.126,341.61,340.94,341.38,340.69,341.61,340.94
1982,3,30025,1982.2027,342.7,341.32,342.17,340.78,342.7,341.32
1982,4,30056,1982.2877,343.57,341.08,343.38,340.87,343.57,341.08
1982,5,30086,1982.3699,344.14,341.1,343.99,340.96,344.14,341.1
1982,6,30117,1982.4548,343.35,341.05,343.31,341.04,343.35,341.05
1982,7,30147,1982.537,342.06,341.32,341.81,341.11,342.06,341.32
1982,8,30178,1982.6219,339.81,341.18,339.79,341.19,339.81,341.18
1982,9,30209,1982.7068,337.98,341.1,338.14,341.28,337.98,341.1
1982,10,30239,1982.789,337.86,341.1,338.15,341.37,337.86,341.1
1982,11,30270,1982.874,339.26,341.29,339.49,341.49,339.26,341.29
1982,12,30300,1982.9562,340.49,341.32,340.81,341.62,340.49,341.32
1983,1,30331,1983.0411,341.38,341.33,341.83,341.77,341.38,341.33
1983,2,30362,1983.126,342.52,341.84,342.63,341.94,342.52,341.84
1983,3,30390,1983.2027,343.1,341.72,343.5,342.11,343.1,341.72
1983,4,30421,1983.2877,344.94,342.44,344.82,342.3,344.94,342.44
1983,5,30451,1983.3699,345.76,342.71,345.54,342.49,345.76,342.71
1983,6,30482,1983.4548,345.32,343.01,344.97,342.68,345.32,343.01
1983,7,30512,1983.537,343.98,343.25,343.56,342.86,343.98,343.25
1983,8,30543,1983.6219,342.38,343.75,341.62,343.03,342.38,343.75
1983,9,30574,1983.7068,339.87,343,340.03,343.19,339.87,343
1983,10,30604,1983.789,339.99,343.24,340.1,343.33,339.99,343.24
1983,11,30635,1983.874,341.15,343.19,341.47,343.48,341.15,343.19
1983,12,30665,1983.9562,342.99,343.82,342.8,343.62,342.99,343.82
1984,1,30696,1984.041,343.7,343.65,343.81,343.75,343.7,343.65
1984,2,30727,1984.1257,344.5,343.83,344.58,343.89,344.5,343.83
1984,3,30756,1984.2049,345.28,343.87,345.43,344.01,345.28,343.87
1984,4,30787,1984.2896,347.05,344.52,346.69,344.14,347.05,344.52
1984,5,30817,1984.3716,347.43,344.38,347.31,344.26,347.43,344.38
1984,6,30848,1984.4563,346.8,344.51,346.65,344.38,346.8,344.51
1984,7,30878,1984.5383,345.39,344.69,345.17,344.5,345.39,344.69
1984,8,30909,1984.623,343.28,344.68,343.18,344.62,343.28,344.68
1984,9,30940,1984.7077,341.07,344.23,341.56,344.74,341.07,344.23
1984,10,30970,1984.7896,341.35,344.6,341.62,344.86,341.35,344.6
1984,11,31001,1984.8743,342.98,345.01,342.98,344.99,342.98,345.01
1984,12,31031,1984.9563,344.22,345.05,344.3,345.12,344.22,345.05
1985,1,31062,1985.0411,344.97,344.92,345.31,345.25,344.97,344.92
1985,2,31093,1985.126,345.99,345.31,346.08,345.38,345.99,345.31
1985,3,31121,1985.2027,347.42,346.04,346.9,345.5,347.42,346.04
1985,4,31152,1985.2877,348.35,345.83,348.15,345.62,348.35,345.83
1985,5,31182,1985.3699,348.93,345.86,348.79,345.73,348.93,345.86
1985,6,31213,1985.4548,348.25,345.93,348.13,345.83,348.25,345.93
1985,7,31243,1985.537,346.56,345.82,346.63,345.92,346.56,345.82
1985,8,31274,1985.6219,344.67,346.06,344.6,346.01,344.67,346.06
1985,9,31305,1985.7068,343.09,346.24,342.93,346.1,343.09,346.24
1985,10,31335,1985.789,342.8,346.07,342.93,346.19,342.8,346.07
1985,11,31366,1985.874,344.24,346.29,344.25,346.28,344.24,346.29
1985,12,31396,1985.9562,345.56,346.39,345.55,346.37,345.56,346.39
1986,1,31427,1986.0411,346.3,346.25,346.53,346.47,346.3,346.25
1986,2,31458,1986.126,346.95,346.27,347.27,346.58,346.95,346.27
1986,3,31486,1986.2027,347.85,346.46,348.09,346.68,347.85,346.46
1986,4,31517,1986.2877,349.55,347.03,349.35,346.81,349.55,347.03
1986,5,31547,1986.3699,350.22,347.14,350.01,346.93,350.22,347.14
1986,6,31578,1986.4548,349.55,347.23,349.36,347.06,349.55,347.23
1986,7,31608,1986.537,347.94,347.2,347.89,347.18,347.94,347.2
1986,8,31639,1986.6219,345.9,347.29,345.89,347.31,345.9,347.29
1986,9,31670,1986.7068,344.85,348.02,344.25,347.44,344.85,348.02
1986,10,31700,1986.789,344.17,347.45,344.29,347.56,344.17,347.45
1986,11,31731,1986.874,345.66,347.71,345.66,347.69,345.66,347.71
1986,12,31761,1986.9562,346.9,347.74,347,347.82,346.9,347.74
1987,1,31792,1987.0411,348.02,347.98,348.03,347.97,348.02,347.98
1987,2,31823,1987.126,348.48,347.79,348.83,348.13,348.48,347.79
1987,3,31851,1987.2027,349.42,348.02,349.69,348.28,349.42,348.02
1987,4,31882,1987.2877,350.98,348.45,351.01,348.47,350.98,348.45
1987,5,31912,1987.3699,351.85,348.76,351.74,348.65,351.85,348.76
1987,6,31943,1987.4548,351.26,348.92,351.17,348.86,351.26,348.92
1987,7,31973,1987.537,349.51,348.77,349.77,349.06,349.51,348.77
1987,8,32004,1987.6219,348.1,349.49,347.85,349.27,348.1,349.49
1987,9,32035,1987.7068,346.45,349.62,346.3,349.5,346.45,349.62
1987,10,32065,1987.789,346.36,349.65,346.43,349.71,346.36,349.65
1987,11,32096,1987.874,347.81,349.87,347.9,349.94,347.81,349.87
1987,12,32126,1987.9562,348.96,349.81,349.33,350.16,348.96,349.81
1988,1,32157,1988.041,350.43,350.39,350.44,350.38,350.43,350.39
1988,2,32188,1988.1257,351.73,351.04,351.31,350.61,351.73,351.04
1988,3,32217,1988.2049,352.22,350.79,352.25,350.81,352.22,350.79
1988,4,32248,1988.2896,353.59,351.02,353.6,351.02,353.59,351.02
1988,5,32278,1988.3716,354.22,351.12,354.3,351.21,354.22,351.12
1988,6,32309,1988.4563,353.8,351.48,353.69,351.4,353.8,351.48
1988,7,32339,1988.5383,352.38,351.66,352.25,351.57,352.38,351.66
1988,8,32370,1988.623,350.43,351.85,350.28,351.73,350.43,351.85
1988,9,32401,1988.7077,348.73,351.92,348.67,351.89,348.73,351.92
1988,10,32431,1988.7896,348.88,352.18,348.74,352.02,348.88,352.18
1988,11,32462,1988.8743,350.07,352.13,350.12,352.15,350.07,352.13
